letter,byte_0,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8,byte_9,byte_10,byte_11,byte_12,byte_13,byte_14,byte_15,byte_16,byte_17,byte_18,byte_19,byte_20,byte_21,byte_22,byte_23,byte_24,byte_25,byte_26,byte_27,byte_28,byte_29,byte_30,byte_31,byte_32,byte_33,byte_34,byte_35,byte_36,byte_37,byte_38,byte_39,byte_40,byte_41,byte_42,byte_43,byte_44,byte_45,byte_46,byte_47,byte_48,byte_49,byte_50,byte_51,byte_52,byte_53,byte_54,byte_55,byte_56,byte_57,byte_58,byte_59,byte_60,byte_61,byte_62,byte_63,byte_64,byte_65,byte_66,byte_67,byte_68,byte_69,byte_70,byte_71,byte_72,byte_73,byte_74,byte_75,byte_76,byte_77,byte_78,byte_79,byte_80,byte_81,byte_82,byte_83,byte_84,byte_85,byte_86,byte_87,byte_88,byte_89,byte_90,byte_91,byte_92,byte_93,byte_94,byte_95,byte_96,byte_97,byte_98,byte_99,byte_100,byte_101,byte_102,byte_103,byte_104,byte_105,byte_106,byte_107,byte_108,byte_109,byte_110,byte_111,byte_112,byte_113,byte_114,byte_115,byte_116,byte_117,byte_118,byte_119,byte_120,byte_121,byte_122,byte_123,byte_124,byte_125,byte_126,byte_127
"0 (0)",0.000000,0.000000,0.000000,0.195489,0.115288,0.113617,0.112782,0.112782,0.923977,0.008354,0.005848,0.002506,0.001671,0.002506,0.002506,0.003342,0.001671,0.004177,0.005013,0.004177,0.010879,0.011715,0.010042,0.009205,0.017573,0.009205,0.006695,0.005021,0.116318,0.280335,0.001674,0.005021,0.007531,0.005021,0.000000,0.010042,0.010879,0.006695,0.050209,0.019247,0.006695,0.103766,0.055230,0.093724,0.111297,0.110460,0.066109,0.046862,0.005021,0.010879,0.000000,0.001674,0.009205,0.001674,0.005858,0.005021,0.004184,0.000837,0.000837,0.001674,0.013389,0.002510,0.002510,0.004184,0.058577,0.064435,0.062762,0.052720,0.057741,0.054393,0.062814,0.084590,0.062814,0.048576,0.058626,0.046064,0.052764,0.048576,0.050251,0.068677,0.056114,0.051089,0.052764,0.049414,0.053601,0.048576,0.048576,0.051089,0.047779,0.049455,0.051132,0.047779,0.046940,0.058676,0.055323,0.053646,0.046940,0.046940,0.045264,0.062867,0.096396,0.095557,0.096396,0.098072,0.099749,0.098072,0.095557,0.096396,0.098072,0.103940,0.096396,0.099749,0.096396,0.097234,0.097234,0.096396,0.095557,0.096396,0.097234,0.098072,0.097234,0.096396,0.098072,0.096396,0.097234,0.096396,0.097234,0.098072
"1 (1)",0.000000,0.000000,0.000000,0.000000,0.003342,0.003342,0.000000,0.000000,0.000000,0.000000,0.005013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000837,0.002510,0.000837,0.000837,0.000000,0.002510,0.001674,0.001674,0.003347,0.001674,0.000000,0.000000,0.002510,0.003347,0.000000,0.001674,0.007531,0.033473,0.000837,0.074477,0.030126,0.000837,0.000000,0.004184,0.000000,0.002510,0.000837,0.001674,0.000837,0.003347,0.006695,0.001674,0.008368,0.002510,0.006695,0.000000,0.010879,0.003347,0.014226,0.022594,0.005021,0.005858,0.005021,0.002510,0.012563,0.012563,0.002513,0.005025,0.003350,0.001675,0.002513,0.001675,0.003350,0.004188,0.003350,0.003350,0.004188,0.001675,0.001675,0.002513,0.007538,0.000000,0.000000,0.002515,0.005029,0.002515,0.000838,0.000000,0.004191,0.000838,0.001676,0.000838,0.000838,0.001676,0.000838,0.001676,0.000000,0.000838,0.000838,0.000000,0.000000,0.002515,0.000000,0.000838,0.000838,0.000838,0.000000,0.000838,0.000000,0.000000,0.002515,0.001676,0.043588,0.002515,0.003353,0.000000,0.000838,0.000838,0.000000,0.000838,0.000000,0.000000
"2 (2)",0.000000,0.000000,0.000000,0.000000,0.001671,0.005013,0.002506,0.000000,0.076023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000835,0.000000,0.001674,0.000837,0.000000,0.000000,0.001674,0.000837,0.001674,0.004184,0.000837,0.000837,0.005021,0.004184,0.000000,0.000837,0.000000,0.002510,0.000000,0.000837,0.001674,0.000000,0.000837,0.000000,0.010879,0.005858,0.005858,0.011715,0.017573,0.001674,0.002510,0.000837,0.004184,0.001674,0.002510,0.000000,0.041004,0.000837,0.005021,0.022594,0.004184,0.000000,0.003347,0.001674,0.001674,0.002510,0.005021,0.022594,0.000837,0.000000,0.001674,0.000837,0.012563,0.017588,0.005025,0.000838,0.002513,0.001675,0.006700,0.000000,0.001675,0.001675,0.005025,0.003350,0.002513,0.006700,0.006700,0.021776,0.007538,0.004188,0.003353,0.005029,0.005029,0.003353,0.000000,0.002515,0.005868,0.000000,0.001676,0.001676,0.000838,0.002515,0.001676,0.001676,0.000838,0.000838,0.000838,0.000838,0.000000,0.000838,0.002515,0.002515,0.000000,0.000000,0.001676,0.001676,0.000000,0.001676,0.000838,0.000838,0.000000,0.000838,0.000838,0.001676,0.000000,0.000838,0.000000,0.000000,0.000838,0.003353
"3 (3)",0.000000,0.000000,0.000000,0.000000,0.007519,0.004177,0.001671,0.000000,0.000000,0.959064,0.001671,0.000000,0.001671,0.000000,0.000000,0.000000,0.000000,0.005848,0.000000,0.000835,0.000000,0.000837,0.000000,0.000837,0.000000,0.001674,0.000000,0.000000,0.002510,0.000837,0.000000,0.000837,0.000837,0.000000,0.003347,0.001674,0.002510,0.000000,0.002510,0.000837,0.001674,0.000837,0.061925,0.020921,0.002510,0.000837,0.004184,0.003347,0.000000,0.047699,0.004184,0.005021,0.007531,0.000000,0.000000,0.001674,0.004184,0.010042,0.000837,0.001674,0.006695,0.015063,0.003347,0.003347,0.007531,0.008368,0.002510,0.005021,0.015900,0.005021,0.002513,0.010050,0.000000,0.002513,0.001675,0.001675,0.001675,0.000838,0.001675,0.002513,0.000838,0.000000,0.001675,0.000838,0.002513,0.000838,0.000000,0.000838,0.003353,0.001676,0.003353,0.001676,0.001676,0.005029,0.001676,0.000000,0.000000,0.000000,0.001676,0.001676,0.000838,0.001676,0.000838,0.000838,0.000000,0.000838,0.000838,0.000000,0.000000,0.000838,0.000838,0.000838,0.000000,0.002515,0.000000,0.000838,0.000000,0.000838,0.001676,0.001676,0.000000,0.000000,0.000838,0.001676,0.001676,0.000838,0.000838,0.000000
"4 (4)",0.000000,0.000000,0.000000,0.000000,0.002506,0.002506,0.001671,0.000000,0.000000,0.000000,0.000835,0.000000,0.003342,0.000000,0.000000,0.000000,0.000000,0.000000,0.006683,0.000000,0.000837,0.001674,0.000000,0.000837,0.002510,0.002510,0.000837,0.001674,0.000000,0.001674,0.004184,0.000000,0.000000,0.000000,0.002510,0.000000,0.000000,0.000000,0.001674,0.003347,0.000837,0.000837,0.010879,0.003347,0.003347,0.098745,0.017573,0.000000,0.000837,0.000837,0.004184,0.005021,0.000837,0.008368,0.000837,0.000837,0.005021,0.001674,0.000837,0.001674,0.001674,0.001674,0.000000,0.009205,0.030962,0.001674,0.030962,0.003347,0.004184,0.005021,0.011725,0.012563,0.002513,0.002513,0.002513,0.001675,0.000838,0.000000,0.001675,0.001675,0.005025,0.008375,0.009213,0.005863,0.005025,0.008375,0.006700,0.002513,0.003353,0.001676,0.003353,0.006706,0.000838,0.004191,0.001676,0.006706,0.000838,0.000000,0.001676,0.000838,0.003353,0.003353,0.002515,0.005029,0.001676,0.000000,0.003353,0.000838,0.002515,0.000838,0.001676,0.000000,0.001676,0.001676,0.000000,0.000838,0.000000,0.001676,0.000838,0.000000,0.000000,0.000000,0.000838,0.000000,0.000838,0.000000,0.000000,0.000838
"5 (5)",0.000000,0.000000,0.000000,0.000000,0.002506,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008354,0.000000,0.000835,0.000000,0.000000,0.000000,0.001671,0.000835,0.003347,0.001674,0.002510,0.000000,0.000837,0.000837,0.000837,0.005021,0.000000,0.000000,0.000000,0.000000,0.000837,0.000837,0.000000,0.000837,0.000000,0.001674,0.000837,0.000000,0.001674,0.000837,0.008368,0.001674,0.000000,0.001674,0.002510,0.000000,0.000000,0.000837,0.003347,0.003347,0.001674,0.000000,0.000000,0.000837,0.002510,0.003347,0.005021,0.002510,0.000837,0.002510,0.000000,0.002510,0.005858,0.006695,0.000000,0.000837,0.002510,0.001674,0.010050,0.015913,0.001675,0.000838,0.000000,0.002513,0.002513,0.000838,0.002513,0.002513,0.001675,0.001675,0.000000,0.000000,0.000000,0.001675,0.000838,0.002513,0.002515,0.003353,0.005868,0.005868,0.001676,0.003353,0.000000,0.000838,0.000000,0.000000,0.015088,0.000838,0.001676,0.000000,0.002515,0.000838,0.001676,0.000838,0.000000,0.000000,0.000000,0.000000,0.000000,0.000838,0.000838,0.000000,0.000000,0.001676,0.001676,0.000000,0.000000,0.000000,0.000838,0.000000,0.001676,0.000838,0.000838,0.000000,0.000838,0.000000
"6 (6)",0.000000,0.000000,0.000000,0.000000,0.005848,0.000835,0.003342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000835,0.000000,0.000000,0.000000,0.000837,0.000837,0.000000,0.000000,0.001674,0.000000,0.000000,0.000837,0.000837,0.000000,0.003347,0.000837,0.000000,0.001674,0.002510,0.005021,0.000000,0.002510,0.001674,0.008368,0.001674,0.005021,0.050209,0.021757,0.000000,0.007531,0.000837,0.000837,0.001674,0.003347,0.009205,0.064435,0.000837,0.000837,0.000837,0.002510,0.005858,0.003347,0.012552,0.000000,0.006695,0.008368,0.010879,0.010042,0.008368,0.000000,0.001674,0.000837,0.002510,0.003350,0.002513,0.000838,0.001675,0.005863,0.003350,0.000838,0.000838,0.002513,0.006700,0.006700,0.006700,0.000000,0.002513,0.000000,0.000838,0.005863,0.001675,0.005029,0.006706,0.003353,0.001676,0.000838,0.009220,0.002515,0.001676,0.000838,0.005029,0.005029,0.003353,0.002515,0.002515,0.005029,0.006706,0.005029,0.000838,0.002515,0.001676,0.000838,0.001676,0.000000,0.000000,0.000838,0.001676,0.000000,0.000838,0.000838,0.000000,0.002515,0.000838,0.001676,0.000000,0.000838,0.001676,0.000000,0.000838,0.000838,0.000000
"7 (7)",0.000000,0.000000,0.000000,0.000000,0.005013,0.003342,0.001671,0.000000,0.000000,0.001671,0.000000,0.000000,0.004177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000835,0.000000,0.000000,0.000000,0.001674,0.001674,0.002510,0.000000,0.000837,0.000837,0.001674,0.000837,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001674,0.000000,0.000000,0.000000,0.000837,0.003347,0.015900,0.000000,0.000000,0.000000,0.000837,0.002510,0.001674,0.000000,0.001674,0.021757,0.002510,0.000000,0.000000,0.000837,0.000837,0.000000,0.000837,0.006695,0.004184,0.002510,0.006695,0.001674,0.003347,0.010879,0.002510,0.005858,0.000837,0.004184,0.005025,0.004188,0.004188,0.010888,0.000838,0.000838,0.000000,0.000000,0.000000,0.000838,0.000000,0.000000,0.001675,0.002513,0.001675,0.000838,0.001675,0.003350,0.004191,0.000838,0.003353,0.008382,0.002515,0.005868,0.002515,0.003353,0.000000,0.000000,0.002515,0.030176,0.000000,0.000000,0.003353,0.005029,0.000000,0.000838,0.000838,0.000838,0.000838,0.000000,0.001676,0.000838,0.000000,0.000000,0.000000,0.001676,0.000838,0.002515,0.000000,0.000838,0.001676,0.000000,0.000000,0.000838,0.000000,0.001676,0.001676,0.001676
"8 (8)",0.000000,0.000000,1.000000,0.803676,0.001671,0.001671,0.000835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000835,0.000835,0.000837,0.000000,0.001674,0.005858,0.000000,0.001674,0.002510,0.001674,0.000000,0.000837,0.001674,0.000837,0.000837,0.001674,0.001674,0.001674,0.000837,0.002510,0.000837,0.005021,0.001674,0.003347,0.000837,0.002510,0.006695,0.001674,0.002510,0.000837,0.046025,0.001674,0.014226,0.002510,0.000837,0.002510,0.004184,0.002510,0.000000,0.007531,0.000837,0.049372,0.002510,0.007531,0.003347,0.007531,0.001674,0.003347,0.000000,0.006695,0.006695,0.010879,0.001675,0.000838,0.000000,0.002513,0.007538,0.003350,0.005863,0.000838,0.001675,0.001675,0.002513,0.004188,0.002513,0.002513,0.005863,0.005863,0.002513,0.009213,0.002515,0.003353,0.000838,0.001676,0.001676,0.005029,0.005868,0.005868,0.003353,0.003353,0.001676,0.000000,0.000000,0.000000,0.000000,0.001676,0.000000,0.002515,0.000000,0.000838,0.000000,0.001676,0.002515,0.001676,0.000000,0.000838,0.000838,0.001676,0.000000,0.001676,0.000000,0.000000,0.000838,0.000838,0.000838,0.001676,0.000000,0.000838,0.000838,0.000000
"9 (9)",0.000000,0.000000,0.000000,0.000000,0.000835,0.002506,0.001671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000835,0.000000,0.000000,0.000000,0.000000,0.003347,0.000000,0.002510,0.003347,0.007531,0.000000,0.000000,0.002510,0.000837,0.000000,0.001674,0.001674,0.001674,0.000837,0.000837,0.000000,0.001674,0.000000,0.000837,0.002510,0.000837,0.001674,0.008368,0.004184,0.000837,0.000837,0.000837,0.011715,0.002510,0.002510,0.048536,0.049372,0.001674,0.000000,0.000837,0.004184,0.000000,0.002510,0.001674,0.002510,0.001674,0.000837,0.000000,0.008368,0.000837,0.001674,0.000837,0.010888,0.008375,0.005025,0.005863,0.000838,0.001675,0.001675,0.000838,0.001675,0.002513,0.016750,0.001675,0.000838,0.002513,0.000838,0.000838,0.003350,0.000838,0.002515,0.001676,0.005868,0.002515,0.003353,0.000000,0.001676,0.001676,0.000838,0.001676,0.000838,0.000838,0.004191,0.006706,0.000838,0.000000,0.000838,0.000838,0.000000,0.001676,0.000838,0.000838,0.000838,0.000838,0.003353,0.001676,0.002515,0.000838,0.000000,0.000000,0.000838,0.000838,0.000838,0.001676,0.000838,0.000838,0.001676,0.000838,0.000000,0.000000
