letter,byte_0,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8,byte_9,byte_10,byte_11,byte_12,byte_13,byte_14,byte_15,byte_16,byte_17,byte_18,byte_19,byte_20,byte_21,byte_22,byte_23,byte_24,byte_25,byte_26,byte_27,byte_28,byte_29,byte_30,byte_31,byte_32,byte_33,byte_34,byte_35,byte_36,byte_37,byte_38,byte_39,byte_40,byte_41,byte_42,byte_43,byte_44,byte_45,byte_46,byte_47,byte_48,byte_49,byte_50,byte_51,byte_52,byte_53,byte_54,byte_55,byte_56,byte_57,byte_58,byte_59,byte_60,byte_61,byte_62,byte_63,byte_64,byte_65,byte_66,byte_67,byte_68,byte_69,byte_70,byte_71,byte_72,byte_73,byte_74,byte_75,byte_76,byte_77,byte_78,byte_79,byte_80,byte_81,byte_82,byte_83,byte_84,byte_85,byte_86,byte_87,byte_88,byte_89,byte_90,byte_91,byte_92,byte_93,byte_94,byte_95,byte_96,byte_97,byte_98,byte_99,byte_100,byte_101,byte_102,byte_103,byte_104,byte_105,byte_106,byte_107,byte_108,byte_109,byte_110,byte_111,byte_112,byte_113,byte_114,byte_115,byte_116,byte_117,byte_118,byte_119,byte_120,byte_121,byte_122,byte_123,byte_124,byte_125,byte_126,byte_127
"0 (0)",0.222222,0.246914,0.135802,0.308642,0.432099,0.259259,0.469136,0.209877,0.370370,0.320988,0.259259,0.259259,0.345679,0.358025,0.493827,0.222222,0.333333,0.382716,0.370370,0.296296,0.246914,0.370370,0.197531,0.234568,0.283951,0.246914,0.283951,0.185185,0.456790,0.283951,0.271605,0.246914,0.209877,0.234568,0.212500,0.262500,0.212500,0.212500,0.212500,0.187500,0.212500,0.162500,0.162500,0.312500,0.225000,0.225000,0.175000,0.237500,0.200000,0.237500,0.400000,0.175000,0.225000,0.187500,0.212500,0.200000,0.200000,0.187500,0.175000,0.212500,0.175000,0.250000,0.212500,0.225000,0.225000,0.246377,0.260870,0.217391,0.289855,0.304348,0.347826,0.289855,0.452830,0.452830,0.452830,0.358491,0.415094,0.396226,0.377358,0.320755,0.339623,0.339623,0.377358,0.377358,0.320755,0.377358,0.377358,0.396226,0.358491,0.377358,0.415094,0.377358,0.339623,0.301887,0.339623,0.358491,0.339623,0.358491,0.377358,0.358491,0.358491,0.396226,0.377358,0.226415,0.320755,0.301887,0.283019,0.150943,0.301887,0.283019,0.283019,0.283019,0.301887,0.283019,0.377358,0.207547,0.307692,0.326923,0.307692,0.230769,0.230769,0.250000,0.326923,0.230769,0.326923,0.346154,0.333333,0.215686
"1 (1)",0.000000,0.024691,0.000000,0.061728,0.000000,0.012346,0.012346,0.049383,0.012346,0.000000,0.012346,0.012346,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,0.024691,0.000000,0.012346,0.012346,0.000000,0.000000,0.000000,0.049383,0.012346,0.061728,0.024691,0.012346,0.012346,0.012346,0.037037,0.000000,0.000000,0.000000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.000000,0.012500,0.012500,0.025000,0.000000,0.025000,0.012500,0.000000,0.000000,0.025000,0.000000,0.000000,0.012500,0.000000,0.012500,0.025000,0.025000,0.000000,0.000000,0.000000,0.000000,0.014493,0.014493,0.014493,0.028986,0.028986,0.000000,0.000000,0.000000,0.018868,0.018868,0.000000,0.056604,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.037736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056604,0.000000,0.000000,0.056604,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.018868,0.000000,0.000000,0.018868,0.038462,0.000000,0.000000,0.019231,0.019231,0.019231,0.000000,0.019231,0.057692,0.019231,0.019608,0.000000
"2 (2)",0.000000,0.012346,0.000000,0.012346,0.012346,0.197531,0.024691,0.024691,0.000000,0.209877,0.024691,0.000000,0.000000,0.000000,0.000000,0.024691,0.000000,0.000000,0.135802,0.024691,0.000000,0.000000,0.000000,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,0.000000,0.024691,0.037037,0.012346,0.000000,0.000000,0.025000,0.000000,0.012500,0.000000,0.000000,0.000000,0.012500,0.025000,0.000000,0.000000,0.000000,0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012500,0.025000,0.000000,0.000000,0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014493,0.000000,0.000000,0.014493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.018868,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.018868,0.000000,0.000000,0.000000,0.018868,0.000000,0.037736,0.000000,0.000000,0.000000,0.018868,0.000000,0.018868,0.018868,0.018868,0.018868,0.000000,0.000000,0.018868,0.000000,0.000000,0.018868,0.037736,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.019231,0.019231,0.000000,0.000000,0.019608,0.039216
"3 (3)",0.012346,0.000000,0.135802,0.024691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,0.000000,0.037037,0.024691,0.000000,0.012346,0.012346,0.000000,0.000000,0.012346,0.000000,0.012346,0.000000,0.000000,0.024691,0.000000,0.049383,0.000000,0.024691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012500,0.000000,0.000000,0.000000,0.012500,0.012500,0.000000,0.000000,0.000000,0.000000,0.012500,0.012500,0.000000,0.000000,0.000000,0.012500,0.000000,0.025000,0.000000,0.000000,0.012500,0.012500,0.000000,0.000000,0.000000,0.012500,0.000000,0.028986,0.000000,0.000000,0.000000,0.000000,0.014493,0.014493,0.000000,0.000000,0.018868,0.000000,0.000000,0.018868,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019231,0.019231,0.000000,0.000000,0.000000,0.000000,0.000000,0.019608,0.019608
"4 (4)",0.000000,0.000000,0.197531,0.024691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.000000,0.012346,0.000000,0.000000,0.012346,0.012346,0.000000,0.000000,0.000000,0.012346,0.000000,0.037037,0.000000,0.000000,0.000000,0.012500,0.012500,0.000000,0.012500,0.012500,0.012500,0.000000,0.000000,0.000000,0.000000,0.012500,0.000000,0.000000,0.000000,0.000000,0.012500,0.025000,0.000000,0.000000,0.000000,0.000000,0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014493,0.028986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.037736,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.037736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.018868,0.000000,0.000000,0.018868,0.056604,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019231,0.019231,0.000000,0.019231,0.019231,0.000000,0.000000,0.000000,0.000000,0.019608
"5 (5)",0.000000,0.000000,0.000000,0.135802,0.024691,0.000000,0.012346,0.000000,0.197531,0.012346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,0.000000,0.000000,0.012346,0.024691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012500,0.012500,0.000000,0.000000,0.000000,0.000000,0.012500,0.000000,0.000000,0.012500,0.000000,0.000000,0.000000,0.000000,0.012500,0.012500,0.000000,0.012500,0.012500,0.012500,0.012500,0.012500,0.000000,0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037736,0.000000,0.000000,0.000000,0.000000,0.037736,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.019231,0.000000,0.000000,0.000000,0.000000
"6 (6)",0.000000,0.000000,0.000000,0.000000,0.000000,0.012346,0.000000,0.197531,0.024691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,0.012500,0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.037500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012500,0.000000,0.012500,0.000000,0.012500,0.037500,0.012500,0.000000,0.000000,0.012500,0.012500,0.012500,0.000000,0.000000,0.014493,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.018868,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.018868,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.018868,0.018868,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"7 (7)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024691,0.012346,0.000000,0.000000,0.000000,0.024691,0.000000,0.000000,0.000000,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,0.000000,0.000000,0.012500,0.000000,0.000000,0.000000,0.000000,0.012500,0.000000,0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012500,0.000000,0.000000,0.025000,0.000000,0.014493,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019231,0.000000,0.000000,0.019231,0.000000,0.000000,0.000000,0.000000
"8 (8)",0.000000,0.000000,0.000000,0.049383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,0.012346,0.000000,0.000000,0.012346,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,0.000000,0.025000,0.012500,0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012500,0.012500,0.000000,0.014493,0.014493,0.014493,0.014493,0.014493,0.000000,0.014493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.018868,0.018868,0.037736,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.019231,0.000000,0.000000,0.000000,0.019231,0.019231,0.000000,0.000000,0.000000,0.000000,0.000000
"9 (9)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,0.197531,0.012346,0.012346,0.012346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012500,0.025000,0.000000,0.000000,0.000000,0.012500,0.012500,0.000000,0.012500,0.012500,0.012500,0.000000,0.000000,0.012500,0.000000,0.000000,0.000000,0.000000,0.012500,0.000000,0.000000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014493,0.000000,0.000000,0.000000,0.018868,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019231,0.000000,0.019231,0.000000,0.000000,0.000000,0.000000,0.019231,0.000000,0.000000,0.000000
