letter,byte_0,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8,byte_9,byte_10,byte_11,byte_12,byte_13,byte_14,byte_15,byte_16,byte_17,byte_18,byte_19,byte_20,byte_21,byte_22,byte_23,byte_24,byte_25,byte_26,byte_27,byte_28,byte_29,byte_30,byte_31,byte_32,byte_33,byte_34,byte_35,byte_36,byte_37,byte_38,byte_39,byte_40,byte_41,byte_42,byte_43,byte_44,byte_45,byte_46,byte_47,byte_48,byte_49,byte_50,byte_51,byte_52,byte_53,byte_54,byte_55,byte_56,byte_57,byte_58,byte_59,byte_60,byte_61,byte_62,byte_63,byte_64,byte_65,byte_66,byte_67,byte_68,byte_69,byte_70,byte_71,byte_72,byte_73,byte_74,byte_75,byte_76,byte_77,byte_78,byte_79,byte_80,byte_81,byte_82,byte_83,byte_84,byte_85,byte_86,byte_87,byte_88,byte_89,byte_90,byte_91,byte_92,byte_93,byte_94,byte_95,byte_96,byte_97,byte_98,byte_99,byte_100,byte_101,byte_102,byte_103,byte_104,byte_105,byte_106,byte_107,byte_108,byte_109,byte_110,byte_111,byte_112,byte_113,byte_114,byte_115,byte_116,byte_117,byte_118,byte_119,byte_120,byte_121,byte_122,byte_123,byte_124,byte_125,byte_126,byte_127
"0 (0)",1.000000,0.956061,0.753030,0.010606,0.000000,0.000000,0.000000,0.000000,0.236364,0.234848,0.178788,0.010606,0.195455,0.198485,0.078788,0.737879,0.234848,0.221212,0.212121,0.192424,0.698485,0.674242,0.680303,0.677273,0.709091,0.695455,0.677273,0.657576,0.881818,0.878788,0.674242,0.587879,0.827273,0.503030,0.272727,0.053030,0.343939,0.113636,0.248485,0.250000,0.654545,0.507576,0.569697,0.203030,0.246970,0.246970,0.184848,0.186364,0.848485,0.778788,0.710606,0.636364,0.322727,0.174242,0.200000,0.209091,0.284848,0.239394,0.351515,0.351515,0.627273,0.724242,0.260606,0.257576,0.718182,0.445455,0.368182,0.268182,0.653030,0.101515,0.630303,0.622727,0.256061,0.590909,0.624242,0.618182,0.625758,0.600000,0.619697,0.618182,0.618182,0.612121,0.624242,0.619697,0.454545,0.256061,0.636364,0.733333,0.630303,0.716667,0.736364,0.618182,0.634848,0.612121,0.621212,0.631818,0.628788,0.615152,0.622727,0.618182,0.616667,0.250000,0.618182,0.683333,0.604545,0.625758,0.619697,0.634848,0.607576,0.615152,0.633333,0.631818,0.612121,0.621212,0.618182,0.450000,0.256061,0.616667,0.448485,0.451515,0.457576,0.445455,0.451515,0.448485,0.618182,0.618182,0.621212,0.448485
"1 (1)",0.000000,0.006061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007576,0.000000,0.000000,0.012121,0.000000,0.012121,0.022727,0.000000,0.001515,0.000000,0.000000,0.000000,0.009091,0.003030,0.001515,0.009091,0.003030,0.000000,0.006061,0.012121,0.000000,0.001515,0.004545,0.003030,0.134848,0.004545,0.001515,0.006061,0.169697,0.000000,0.001515,0.095455,0.000000,0.013636,0.001515,0.000000,0.000000,0.065152,0.000000,0.000000,0.004545,0.012121,0.003030,0.001515,0.240909,0.007576,0.001515,0.000000,0.030303,0.004545,0.004545,0.034848,0.031818,0.004545,0.001515,0.024242,0.050000,0.003030,0.001515,0.001515,0.551515,0.001515,0.006061,0.372727,0.027273,0.000000,0.009091,0.000000,0.021212,0.001515,0.007576,0.004545,0.001515,0.003030,0.000000,0.001515,0.368182,0.000000,0.006061,0.003030,0.027273,0.001515,0.012121,0.000000,0.025758,0.007576,0.006061,0.003030,0.004545,0.001515,0.006061,0.001515,0.369697,0.004545,0.001515,0.001515,0.001515,0.004545,0.000000,0.001515,0.001515,0.000000,0.003030,0.003030,0.010606,0.004545,0.004545,0.001515,0.000000,0.007576,0.001515,0.000000,0.001515,0.004545,0.001515,0.001515,0.004545,0.001515,0.003030
"2 (2)",0.000000,0.001515,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003030,0.000000,0.124242,0.000000,0.000000,0.004545,0.000000,0.000000,0.006061,0.001515,0.001515,0.000000,0.003030,0.000000,0.001515,0.003030,0.007576,0.001515,0.051515,0.000000,0.001515,0.056061,0.000000,0.001515,0.004545,0.001515,0.000000,0.000000,0.016667,0.007576,0.019697,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.024242,0.000000,0.001515,0.015152,0.025758,0.000000,0.001515,0.009091,0.001515,0.001515,0.000000,0.007576,0.113636,0.004545,0.000000,0.031818,0.006061,0.000000,0.003030,0.003030,0.004545,0.001515,0.000000,0.000000,0.004545,0.000000,0.000000,0.000000,0.007576,0.003030,0.007576,0.000000,0.001515,0.003030,0.003030,0.001515,0.000000,0.004545,0.003030,0.001515,0.001515,0.003030,0.003030,0.001515,0.003030,0.007576,0.001515,0.001515,0.004545,0.003030,0.001515,0.001515,0.003030,0.000000,0.006061,0.001515,0.006061,0.001515,0.000000,0.003030,0.001515,0.000000,0.003030,0.001515,0.000000,0.042424,0.006061,0.003030,0.006061,0.010606,0.001515,0.003030,0.001515,0.009091,0.000000,0.000000,0.000000,0.000000
"3 (3)",0.000000,0.000000,0.006061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003030,0.001515,0.000000,0.000000,0.000000,0.563636,0.000000,0.000000,0.009091,0.000000,0.000000,0.000000,0.006061,0.001515,0.000000,0.001515,0.003030,0.009091,0.000000,0.000000,0.000000,0.001515,0.000000,0.003030,0.012121,0.007576,0.003030,0.000000,0.000000,0.000000,0.000000,0.018182,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.024242,0.000000,0.000000,0.015152,0.004545,0.003030,0.000000,0.001515,0.006061,0.004545,0.106061,0.000000,0.009091,0.000000,0.000000,0.010606,0.004545,0.001515,0.000000,0.001515,0.003030,0.106061,0.000000,0.000000,0.001515,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.001515,0.000000,0.000000,0.000000,0.001515,0.010606,0.000000,0.000000,0.012121,0.003030,0.001515,0.012121,0.001515,0.003030,0.001515,0.001515,0.003030,0.001515,0.000000,0.000000,0.000000,0.006061,0.004545,0.003030,0.000000,0.009091,0.013636,0.000000,0.001515,0.001515,0.003030,0.001515,0.128788,0.001515,0.000000,0.030303,0.001515,0.001515,0.000000,0.001515,0.000000,0.000000,0.000000,0.003030,0.000000
"4 (4)",0.000000,0.000000,0.012121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003030,0.001515,0.001515,0.000000,0.003030,0.001515,0.000000,0.000000,0.000000,0.000000,0.007576,0.013636,0.001515,0.001515,0.000000,0.003030,0.000000,0.000000,0.007576,0.000000,0.001515,0.003030,0.000000,0.001515,0.001515,0.001515,0.000000,0.001515,0.000000,0.004545,0.000000,0.004545,0.004545,0.001515,0.000000,0.001515,0.003030,0.001515,0.001515,0.000000,0.001515,0.001515,0.000000,0.033333,0.006061,0.006061,0.001515,0.001515,0.001515,0.001515,0.000000,0.001515,0.001515,0.001515,0.003030,0.010606,0.000000,0.000000,0.003030,0.001515,0.006061,0.000000,0.001515,0.001515,0.001515,0.000000,0.000000,0.000000,0.000000,0.001515,0.001515,0.000000,0.000000,0.000000,0.000000,0.001515,0.001515,0.000000,0.003030,0.003030,0.001515,0.003030,0.007576,0.003030,0.004545,0.006061,0.000000,0.001515,0.003030,0.001515,0.000000,0.001515,0.000000,0.004545,0.004545,0.001515,0.006061,0.000000,0.001515,0.001515,0.000000,0.001515,0.003030,0.000000,0.001515,0.001515
"5 (5)",0.000000,0.000000,0.028788,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.563636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006061,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.009091,0.006061,0.003030,0.000000,0.001515,0.001515,0.000000,0.001515,0.001515,0.000000,0.000000,0.000000,0.028788,0.000000,0.000000,0.000000,0.004545,0.001515,0.000000,0.000000,0.025758,0.009091,0.000000,0.000000,0.001515,0.006061,0.001515,0.000000,0.000000,0.004545,0.000000,0.003030,0.028788,0.003030,0.003030,0.003030,0.107576,0.000000,0.000000,0.001515,0.000000,0.001515,0.000000,0.000000,0.000000,0.003030,0.001515,0.000000,0.001515,0.000000,0.001515,0.000000,0.001515,0.001515,0.001515,0.000000,0.000000,0.000000,0.001515,0.001515,0.003030,0.000000,0.000000,0.000000,0.001515,0.004545,0.000000,0.004545,0.001515,0.001515,0.003030,0.001515,0.000000,0.001515,0.001515,0.003030,0.001515,0.000000,0.003030,0.001515,0.000000,0.000000,0.000000,0.001515,0.000000,0.046970,0.000000,0.001515,0.001515,0.000000,0.001515,0.003030,0.000000,0.000000,0.000000
"6 (6)",0.000000,0.000000,0.045455,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.001515,0.000000,0.000000,0.006061,0.003030,0.000000,0.000000,0.000000,0.001515,0.000000,0.001515,0.006061,0.004545,0.001515,0.000000,0.000000,0.000000,0.003030,0.001515,0.001515,0.000000,0.028788,0.001515,0.000000,0.000000,0.003030,0.001515,0.000000,0.000000,0.131818,0.001515,0.000000,0.003030,0.000000,0.001515,0.001515,0.000000,0.000000,0.000000,0.003030,0.000000,0.000000,0.036364,0.010606,0.004545,0.107576,0.003030,0.003030,0.001515,0.003030,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.003030,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.003030,0.000000,0.001515,0.006061,0.001515,0.000000,0.000000,0.000000,0.003030,0.003030,0.000000,0.000000,0.003030,0.003030,0.001515,0.003030,0.003030,0.001515,0.001515,0.000000,0.003030,0.003030,0.003030,0.003030,0.030303,0.001515,0.003030,0.000000,0.001515,0.034848,0.003030,0.001515,0.000000,0.001515
"7 (7)",0.000000,0.000000,0.018182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.003030,0.000000,0.001515,0.003030,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.003030,0.000000,0.003030,0.000000,0.003030,0.003030,0.003030,0.000000,0.001515,0.000000,0.012121,0.001515,0.001515,0.001515,0.013636,0.065152,0.000000,0.000000,0.000000,0.109091,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.022727,0.001515,0.001515,0.001515,0.000000,0.001515,0.000000,0.000000,0.000000,0.001515,0.001515,0.015152,0.000000,0.000000,0.000000,0.000000,0.001515,0.003030,0.000000,0.000000,0.000000,0.000000,0.001515,0.003030,0.003030,0.003030,0.025758,0.001515,0.000000,0.000000,0.004545,0.001515,0.000000,0.001515,0.000000,0.003030,0.000000,0.000000,0.001515,0.001515,0.000000,0.000000,0.000000,0.001515,0.000000,0.001515,0.003030,0.003030,0.000000,0.006061,0.001515,0.001515,0.003030,0.025758,0.001515,0.000000,0.000000,0.000000,0.001515,0.003030,0.003030,0.003030,0.003030
"8 (8)",0.000000,0.000000,0.010606,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003030,0.000000,0.009091,0.000000,0.003030,0.000000,0.000000,0.000000,0.000000,0.003030,0.068182,0.000000,0.001515,0.003030,0.206061,0.001515,0.000000,0.000000,0.001515,0.001515,0.003030,0.000000,0.007576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.006061,0.001515,0.004545,0.003030,0.003030,0.000000,0.004545,0.003030,0.001515,0.000000,0.000000,0.000000,0.000000,0.001515,0.024242,0.000000,0.004545,0.000000,0.004545,0.003030,0.000000,0.000000,0.004545,0.000000,0.001515,0.000000,0.003030,0.000000,0.003030,0.000000,0.000000,0.001515,0.001515,0.000000,0.003030,0.000000,0.000000,0.007576,0.004545,0.001515,0.009091,0.003030,0.001515,0.003030,0.000000,0.004545,0.001515,0.001515,0.000000,0.000000,0.000000,0.000000,0.003030,0.024242,0.001515,0.004545,0.003030,0.000000,0.004545,0.000000,0.001515,0.006061,0.001515,0.001515,0.000000,0.001515,0.001515,0.009091,0.004545,0.004545,0.004545,0.003030,0.003030,0.000000,0.001515,0.000000,0.000000
"9 (9)",0.000000,0.001515,0.007576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003030,0.000000,0.000000,0.001515,0.006061,0.001515,0.000000,0.000000,0.001515,0.000000,0.003030,0.000000,0.001515,0.001515,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009091,0.004545,0.003030,0.059091,0.007576,0.003030,0.003030,0.001515,0.001515,0.003030,0.000000,0.000000,0.012121,0.004545,0.001515,0.001515,0.001515,0.001515,0.000000,0.000000,0.000000,0.000000,0.001515,0.003030,0.001515,0.003030,0.000000,0.000000,0.000000,0.000000,0.006061,0.001515,0.000000,0.000000,0.001515,0.000000,0.000000,0.001515,0.003030,0.004545,0.000000,0.000000,0.001515,0.000000,0.001515,0.001515,0.001515,0.001515,0.003030,0.000000,0.001515,0.006061,0.003030,0.004545,0.000000,0.000000,0.003030,0.000000,0.000000,0.000000,0.003030,0.000000,0.001515,0.001515,0.000000,0.001515,0.003030,0.001515,0.001515,0.003030,0.000000,0.000000,0.001515,0.001515,0.004545
"10 (10)",0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.001515,0.003030,0.000000,0.000000,0.001515,0.001515,0.000000,0.000000,0.001515,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010606,0.001515,0.000000,0.004545,0.010606,0.003030,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.004545,0.004545,0.000000,0.000000,0.004545,0.001515,0.001515,0.000000,0.000000,0.000000,0.004545,0.106061,0.001515,0.001515,0.000000,0.001515,0.003030,0.000000,0.000000,0.000000,0.000000,0.001515,0.001515,0.001515,0.001515,0.001515,0.003030,0.001515,0.000000,0.003030,0.000000,0.001515,0.000000,0.000000,0.003030,0.000000,0.001515,0.001515,0.001515,0.000000,0.001515,0.001515,0.001515,0.000000,0.001515,0.003030,0.001515,0.000000,0.000000,0.001515,0.003030,0.000000,0.001515,0.001515,0.012121,0.000000,0.001515,0.001515,0.000000,0.000000,0.000000,0.001515,0.000000
"11 (11)",0.000000,0.001515,0.003030,0.003030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,0.000000,0.000000,0.006061,0.004545,0.001515,0.001515,0.000000,0.000000,0.001515,0.000000,0.001515,0.000000,0.004545,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.003030,0.000000,0.000000,0.000000,0.000000,0.009091,0.000000,0.000000,0.000000,0.001515,0.000000,0.224242,0.001515,0.000000,0.001515,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.004545,0.000000,0.003030,0.001515,0.001515,0.000000,0.001515,0.001515,0.006061,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.001515,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.003030,0.000000,0.000000,0.000000,0.003030,0.000000,0.000000,0.000000,0.000000,0.007576,0.001515,0.000000,0.000000,0.000000,0.000000,0.003030,0.000000,0.000000,0.000000
"12 (12)",0.000000,0.000000,0.003030,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037879,0.000000,0.000000,0.001515,0.000000,0.000000,0.001515,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004545,0.000000,0.000000,0.000000,0.001515,0.000000,0.003030,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.003030,0.000000,0.128788,0.001515,0.000000,0.000000,0.003030,0.000000,0.000000,0.001515,0.003030,0.000000,0.000000,0.001515,0.000000,0.000000,0.004545,0.004545,0.003030,0.000000,0.000000,0.001515,0.003030,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.003030,0.000000,0.000000,0.001515,0.000000,0.001515,0.001515,0.000000,0.001515,0.001515,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004545,0.000000,0.000000,0.001515,0.001515,0.003030,0.001515,0.003030,0.000000,0.000000,0.000000,0.001515,0.003030,0.000000,0.000000,0.000000,0.000000,0.000000,0.003030,0.000000,0.000000,0.000000,0.001515,0.000000,0.003030,0.001515,0.001515,0.000000,0.001515,0.000000,0.000000
"13 (13)",0.000000,0.001515,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.001515,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.001515,0.010606,0.000000,0.003030,0.000000,0.012121,0.007576,0.001515,0.000000,0.000000,0.000000,0.001515,0.001515,0.006061,0.003030,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.001515,0.000000,0.001515,0.000000,0.000000,0.001515,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.001515,0.000000,0.004545,0.001515,0.001515,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.000000,0.001515,0.000000,0.001515,0.000000,0.006061,0.001515,0.000000,0.003030,0.003030
"14 (14)",0.000000,0.001515,0.003030,0.013636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004545,0.000000,0.000000,0.001515,0.004545,0.003030,0.000000,0.000000,0.001515,0.001515,0.000000,0.003030,0.001515,0.000000,0.001515,0.001515,0.001515,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.006061,0.003030,0.000000,0.001515,0.006061,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.009091,0.003030,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003030,0.001515,0.001515,0.004545,0.003030,0.000000,0.001515,0.003030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.001515,0.000000,0.000000,0.000000,0.000000,0.000000,0.001515,0.001515,0.001515,0.000000,0.003030,0.001515,0.000000,0.000000,0.000000,0.001515,0.001515,0.000000,0.003030,0.000000,0.000000
