letter,byte_0,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8,byte_9,byte_10,byte_11,byte_12,byte_13,byte_14,byte_15,byte_16,byte_17,byte_18,byte_19,byte_20,byte_21,byte_22,byte_23,byte_24,byte_25,byte_26,byte_27,byte_28,byte_29,byte_30,byte_31,byte_32,byte_33,byte_34,byte_35,byte_36,byte_37,byte_38,byte_39,byte_40,byte_41,byte_42,byte_43,byte_44,byte_45,byte_46,byte_47,byte_48,byte_49,byte_50,byte_51,byte_52,byte_53,byte_54,byte_55,byte_56,byte_57,byte_58,byte_59,byte_60,byte_61,byte_62,byte_63,byte_64,byte_65,byte_66,byte_67,byte_68,byte_69,byte_70,byte_71,byte_72,byte_73,byte_74,byte_75,byte_76,byte_77,byte_78,byte_79,byte_80,byte_81,byte_82,byte_83,byte_84,byte_85,byte_86,byte_87,byte_88,byte_89,byte_90,byte_91,byte_92,byte_93,byte_94,byte_95,byte_96,byte_97,byte_98,byte_99,byte_100,byte_101,byte_102,byte_103,byte_104,byte_105,byte_106,byte_107,byte_108,byte_109,byte_110,byte_111,byte_112,byte_113,byte_114,byte_115,byte_116,byte_117,byte_118,byte_119,byte_120,byte_121,byte_122,byte_123,byte_124,byte_125,byte_126,byte_127
"0 (0)",0.000000,0.000000,0.000000,0.000000,0.000000,0.999094,0.288043,0.319746,0.102355,1.000000,0.023551,0.028986,0.020833,0.021739,0.775362,0.776268,0.775362,0.776268,0.775362,0.794384,0.919384,0.995471,0.782609,0.785326,0.887681,0.983696,0.000000,1.000000,0.852355,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001812,0.009058,0.002717,0.004529,0.028080,0.017210,0.015399,0.020833,0.038949,0.029891,0.030797,0.023551,0.043478,0.029891,0.029891,0.032609,0.032609,0.055254,0.036232,0.052536,0.038043,0.057065,0.052536,0.069746,0.052536,0.047101,0.047101,0.059783,0.073370,0.057065,0.072464,0.066123,0.064312,0.046196,0.050725,0.048007,0.044384,0.045290,0.046196,0.040761,0.034420,0.048007,0.046196,0.061594,0.046196,0.032609,0.047101,0.043478,0.029891,0.035326,0.031703,0.040761,0.032609,0.039855,0.038949,0.033514,0.030797,0.029891,0.022645,0.029891,0.025362,0.026268,0.019022,0.021739,0.025362,0.028080,0.019022,0.011775,0.009964,0.016304,0.011775,0.010870,0.012681,0.013587,0.019928,0.010870,0.015399,0.021739,0.023551,0.017210,0.013587,0.022645,0.016304,0.011775,0.010870,0.021739,0.018116,0.030797,0.015399,0.021739,0.019928,0.018116
"1 (1)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004529,0.011775,0.000000,0.000000,0.000000,0.000000,0.001812,0.002717,0.000000,0.008152,0.018116,0.004529,0.002717,0.008152,0.023551,0.006341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000906,0.006341,0.000906,0.000000,0.000000,0.000906,0.001812,0.000906,0.009058,0.001812,0.010870,0.000906,0.005435,0.002717,0.000000,0.007246,0.004529,0.004529,0.007246,0.004529,0.002717,0.005435,0.006341,0.005435,0.008152,0.003623,0.009058,0.003623,0.007246,0.004529,0.010870,0.009964,0.004529,0.006341,0.007246,0.000906,0.002717,0.005435,0.010870,0.005435,0.009058,0.007246,0.003623,0.006341,0.007246,0.005435,0.006341,0.003623,0.007246,0.010870,0.001812,0.010870,0.008152,0.006341,0.005435,0.008152,0.005435,0.010870,0.004529,0.002717,0.004529,0.004529,0.004529,0.007246,0.000000,0.008152,0.007246,0.007246,0.013587,0.006341,0.013587,0.003623,0.008152,0.007246,0.009058,0.008152,0.004529,0.004529,0.000906,0.004529,0.003623,0.003623,0.002717,0.005435,0.001812,0.006341,0.012681,0.004529,0.004529
"2 (2)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023551,0.000000,0.000000,0.000000,0.000000,0.018116,0.000000,0.000000,0.000000,0.000906,0.000906,0.000000,0.000906,0.018116,0.016304,0.000000,0.000000,0.004529,0.007246,0.007246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000906,0.000906,0.000906,0.001812,0.000906,0.000906,0.003623,0.004529,0.002717,0.002717,0.000906,0.002717,0.004529,0.002717,0.003623,0.000906,0.002717,0.004529,0.000906,0.005435,0.006341,0.006341,0.002717,0.005435,0.002717,0.007246,0.002717,0.006341,0.005435,0.005435,0.006341,0.008152,0.006341,0.002717,0.009058,0.003623,0.005435,0.007246,0.006341,0.004529,0.008152,0.005435,0.005435,0.005435,0.011775,0.005435,0.004529,0.001812,0.004529,0.005435,0.010870,0.003623,0.002717,0.002717,0.006341,0.007246,0.005435,0.006341,0.004529,0.001812,0.003623,0.005435,0.003623,0.005435,0.008152,0.003623,0.002717,0.008152,0.007246,0.002717,0.001812,0.001812,0.003623,0.004529,0.007246,0.005435,0.002717,0.002717,0.002717,0.006341,0.000906
"3 (3)",0.000000,0.000000,1.000000,0.000000,0.000000,0.000906,0.000000,0.000000,0.000000,0.000000,0.004529,0.018116,0.000000,0.000000,0.000000,0.001812,0.000906,0.000906,0.000000,0.005435,0.009058,0.000000,0.000906,0.002717,0.009058,0.000906,0.001812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004529,0.001812,0.002717,0.000906,0.035326,0.000906,0.007246,0.004529,0.007246,0.008152,0.006341,0.004529,0.003623,0.001812,0.004529,0.012681,0.006341,0.007246,0.005435,0.008152,0.012681,0.005435,0.004529,0.015399,0.013587,0.012681,0.007246,0.005435,0.007246,0.002717,0.005435,0.008152,0.013587,0.009058,0.005435,0.004529,0.003623,0.012681,0.014493,0.006341,0.011775,0.009058,0.009964,0.012681,0.007246,0.004529,0.006341,0.006341,0.004529,0.006341,0.006341,0.006341,0.003623,0.004529,0.001812,0.002717,0.003623,0.003623,0.005435,0.004529,0.000906,0.003623,0.002717,0.002717,0.004529,0.002717,0.007246,0.000906,0.007246,0.002717,0.005435,0.001812,0.002717,0.003623,0.004529,0.003623,0.007246,0.002717,0.001812,0.003623,0.005435,0.006341,0.001812,0.004529,0.001812,0.005435,0.001812,0.009964,0.000906,0.001812,0.002717
"4 (4)",0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003623,0.027174,0.009964,0.000000,0.000000,0.002717,0.000000,0.001812,0.000906,0.008152,0.003623,0.000000,0.000000,0.003623,0.012681,0.001812,0.008152,0.000000,0.004529,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002717,0.000906,0.002717,0.000906,0.014493,0.000906,0.000906,0.003623,0.003623,0.003623,0.006341,0.000906,0.000906,0.001812,0.019928,0.011775,0.003623,0.010870,0.006341,0.014493,0.009058,0.010870,0.011775,0.010870,0.012681,0.006341,0.015399,0.008152,0.014493,0.015399,0.011775,0.006341,0.007246,0.009058,0.009058,0.017210,0.006341,0.009058,0.011775,0.004529,0.009058,0.008152,0.011775,0.007246,0.007246,0.010870,0.010870,0.013587,0.015399,0.012681,0.009058,0.010870,0.009058,0.025362,0.019928,0.006341,0.009964,0.016304,0.010870,0.019022,0.013587,0.005435,0.010870,0.004529,0.007246,0.009058,0.006341,0.008152,0.007246,0.004529,0.008152,0.006341,0.004529,0.004529,0.006341,0.002717,0.004529,0.003623,0.002717,0.005435,0.004529,0.002717,0.009964,0.006341,0.001812,0.006341,0.005435,0.005435,0.004529,0.005435
"5 (5)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000906,0.025362,0.000000,0.000000,0.003623,0.000906,0.000000,0.000906,0.006341,0.007246,0.003623,0.000000,0.005435,0.002717,0.002717,0.000000,0.003623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000906,0.000000,0.000000,0.001812,0.000000,0.000906,0.002717,0.000000,0.001812,0.001812,0.003623,0.003623,0.000000,0.003623,0.002717,0.003623,0.001812,0.002717,0.003623,0.003623,0.003623,0.005435,0.001812,0.003623,0.002717,0.005435,0.003623,0.000906,0.002717,0.008152,0.007246,0.006341,0.004529,0.002717,0.001812,0.004529,0.004529,0.004529,0.001812,0.005435,0.005435,0.004529,0.002717,0.003623,0.003623,0.000906,0.002717,0.006341,0.004529,0.002717,0.002717,0.004529,0.004529,0.002717,0.001812,0.006341,0.002717,0.002717,0.012681,0.005435,0.002717,0.008152,0.005435,0.001812,0.000906,0.002717,0.002717,0.004529,0.002717,0.002717,0.000906,0.001812,0.001812,0.003623,0.001812,0.003623,0.005435,0.002717,0.000000,0.001812,0.005435,0.001812,0.005435,0.001812,0.007246,0.003623,0.004529,0.001812,0.001812,0.000000
"6 (6)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000906,0.000000,0.005435,0.023551,0.000000,0.000000,0.000000,0.000000,0.000906,0.001812,0.000000,0.009058,0.002717,0.000000,0.000000,0.003623,0.002717,0.000000,0.005435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001812,0.000000,0.000000,0.000000,0.003623,0.000906,0.000906,0.001812,0.003623,0.000906,0.000000,0.005435,0.002717,0.001812,0.000000,0.002717,0.001812,0.000000,0.000906,0.002717,0.004529,0.002717,0.004529,0.002717,0.003623,0.002717,0.001812,0.004529,0.009058,0.004529,0.003623,0.001812,0.004529,0.002717,0.009058,0.003623,0.000906,0.002717,0.005435,0.003623,0.002717,0.004529,0.001812,0.003623,0.003623,0.001812,0.002717,0.006341,0.003623,0.003623,0.000906,0.001812,0.002717,0.004529,0.002717,0.001812,0.003623,0.004529,0.000000,0.003623,0.004529,0.002717,0.003623,0.002717,0.003623,0.003623,0.005435,0.005435,0.004529,0.000906,0.003623,0.004529,0.003623,0.003623,0.000906,0.003623,0.003623,0.003623,0.001812,0.002717,0.007246,0.004529
"7 (7)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001812,0.000000,0.000000,0.000000,0.001812,0.000000,0.001812,0.000000,0.000000,0.006341,0.000906,0.000000,0.000906,0.000906,0.002717,0.000000,0.048007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005435,0.001812,0.000000,0.002717,0.000906,0.002717,0.005435,0.001812,0.003623,0.002717,0.001812,0.006341,0.004529,0.005435,0.003623,0.008152,0.004529,0.004529,0.006341,0.002717,0.000906,0.004529,0.007246,0.000906,0.001812,0.001812,0.005435,0.002717,0.003623,0.001812,0.005435,0.003623,0.007246,0.004529,0.004529,0.000906,0.000906,0.005435,0.000906,0.001812,0.005435,0.004529,0.001812,0.004529,0.000906,0.003623,0.003623,0.000000,0.003623,0.000906,0.000906,0.003623,0.001812,0.000906,0.005435,0.000906,0.001812,0.003623,0.001812,0.000000,0.001812,0.002717,0.001812,0.003623,0.004529,0.001812,0.002717,0.001812,0.003623,0.000906,0.000000,0.001812,0.000906,0.000906,0.002717,0.000906,0.002717,0.001812,0.002717,0.001812,0.001812,0.004529,0.000000,0.000000,0.000906,0.001812,0.001812
"8 (8)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.688406,0.680254,0.896739,0.000000,0.009058,0.000906,0.001812,0.000000,0.000000,0.000000,0.001812,0.000000,0.000000,0.004529,0.000000,0.000000,0.000906,0.003623,0.002717,0.000000,0.019022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001812,0.000906,0.008152,0.000906,0.014493,0.006341,0.001812,0.005435,0.006341,0.000906,0.005435,0.001812,0.000906,0.011775,0.005435,0.012681,0.008152,0.004529,0.004529,0.003623,0.006341,0.005435,0.009964,0.010870,0.012681,0.009964,0.012681,0.009058,0.015399,0.013587,0.004529,0.013587,0.009058,0.009058,0.011775,0.008152,0.005435,0.009058,0.010870,0.009058,0.009964,0.014493,0.011775,0.008152,0.013587,0.010870,0.004529,0.005435,0.009058,0.009058,0.009964,0.006341,0.004529,0.006341,0.004529,0.008152,0.009964,0.008152,0.011775,0.006341,0.005435,0.002717,0.007246,0.009964,0.006341,0.005435,0.009058,0.004529,0.005435,0.005435,0.003623,0.002717,0.009964,0.013587,0.009058,0.004529,0.005435,0.003623,0.004529,0.002717,0.004529,0.005435,0.006341,0.005435,0.005435
"9 (9)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004529,0.000000,0.000000,0.000000,0.001812,0.000000,0.000000,0.000000,0.001812,0.005435,0.000000,0.000000,0.000906,0.009964,0.004529,0.000000,0.033514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001812,0.000906,0.000000,0.000000,0.020833,0.000000,0.001812,0.001812,0.004529,0.006341,0.001812,0.006341,0.002717,0.003623,0.001812,0.008152,0.002717,0.005435,0.006341,0.007246,0.006341,0.008152,0.002717,0.004529,0.003623,0.002717,0.002717,0.006341,0.000906,0.004529,0.009058,0.004529,0.007246,0.003623,0.005435,0.002717,0.007246,0.009058,0.010870,0.005435,0.010870,0.014493,0.010870,0.017210,0.016304,0.003623,0.008152,0.007246,0.006341,0.008152,0.003623,0.006341,0.004529,0.006341,0.001812,0.006341,0.006341,0.002717,0.007246,0.007246,0.003623,0.009964,0.008152,0.003623,0.001812,0.005435,0.009058,0.002717,0.009964,0.006341,0.009964,0.005435,0.006341,0.005435,0.004529,0.003623,0.003623,0.000906,0.000906,0.002717,0.005435,0.005435,0.002717,0.000906,0.002717,0.001812,0.002717,0.007246,0.002717,0.000000,0.000000,0.004529,0.001812
